id,record_type,country,country_name_en,country_name_ja,regulation_name_en,regulation_name_ja,registration_required,registration_authority_en,registration_authority_ja,registration_url,covered_categories,reporting_frequency,marketplace_liability,penalties_en,penalties_ja,threshold_value,threshold_currency,threshold_value_jpy_estimate,applies_to_categories,vat_above_threshold,duty_above_threshold,special_regimes,reporting_burden_en,reporting_burden_ja,notes_en,notes_ja,source_urls,last_checked_at,confidence,current_status,current_as_of,latest_event_date,latest_event_type,latest_event_description_en,latest_event_source_url,timeline_event_count
epr_de_packaging,packaging_epr,DE,Germany,ドイツ,VerpackG (Verpackungsgesetz / Packaging Act),包装法 (VerpackG / Verpackungsgesetz),yes,Zentrale Stelle Verpackungsregister (ZSVR / Central Agency Packaging Register),中央包装登録局 (ZSVR / Zentrale Stelle Verpackungsregister),https://www.verpackungsregister.org/en/,paper | cardboard | plastic | glass | metal | wood | composite,annual,yes,"Administrative fines of up to EUR 200,000 per infringement; potential sales/distribution ban (Vertriebsverbot). Marketplaces such as Amazon and eBay are required to verify seller LUCID registration since July 2022 and may delist non-compliant sellers.",違反1件につき最大20万ユーロの行政罰金、販売・流通停止 (Vertriebsverbot) の可能性。2022年7月以降、Amazon・eBay等のオンラインマーケットプレイスは出品者のLUCID登録を検証することが義務付けられており、未登録出品者は出品停止の対象となる,,,,,,,,,,"Two-step compliance: (1) free registration with LUCID Packaging Register issuing a 13-digit DE-prefixed registration number, (2) mandatory contract with an authorized dual system provider. No de minimis threshold — the obligation applies from the first piece of packaging placed on the German market. Foreign sellers shipping into Germany are obligated. Annual data reporting to the dual system and to LUCID is required.",2段階の遵守: (1) LUCID包装登録簿への無料登録(13桁DE接頭辞の登録番号が発行される)、(2) 認定デュアルシステム事業者との契約。閾値・最低数量の例外はなく、ドイツ市場に投入される最初の包装1個から義務が発生。海外からドイツへ販売する事業者にも適用。デュアルシステムとLUCIDへの年次データ報告が必要,https://www.verpackungsregister.org/en/ | https://www.verpackungsregister.org/en/registration/find-out-about-registrations,2026-04-27,high,active,2026-04-27,2026-08-12,rule_effective,"EU Packaging and Packaging Waste Regulation (PPWR, Regulation (EU) 2025/40) becomes applicable across all EU Member States including Germany, introducing new requirements for system participation and harmonized rules. Germany has issued a draft Packaging Act 2025 to coexist with PPWR while retaining national elements.",https://www.verpackungsregister.org/en/,5
epr_fr_packaging,packaging_epr,FR,France,フランス,AGEC Law (Anti-Waste for a Circular Economy) and Decree implementing EPR for packaging,AGEC法(循環経済のための廃棄物対策法)および包装EPR実施令,yes,ADEME (French Agency for Ecological Transition) — issues the Unique Identifier (Identifiant Unique / UID) via approved Producer Responsibility Organisations (PROs),ADEME (フランス環境エネルギー管理庁) — 認定された生産者責任機関(PRO)を経由して固有識別番号(UID / Identifiant Unique)を発行,https://www.citeo.com/,paper | cardboard | plastic | glass | metal | wood | composite,annual,yes,"Fines up to EUR 30,000 per infraction (Articles R.541-176 to R.541-179 of the French Environmental Code). Some sources cite up to EUR 100,000 per violation in marketplace context. Sales bans on platforms such as Amazon and eBay; legal action by French authorities.",違反1件につき最大3万ユーロ(環境法典 R.541-176〜R.541-179条)。マーケットプレイス文脈では最大10万ユーロとする情報源もある。Amazon・eBay等での出品停止、フランス当局による法的措置,,,,,,,,,,"Two-branch system: household packaging via PROs such as CITEO or Léko, and professional packaging via designated sector operators. Producers must register, obtain a UID (Identifiant Unique), apply Triman + Info-Tri labelling, file annual declarations by 31 May, and pay eco-contributions. Annual declaration to PRO due 31 May. Non-French companies must appoint a French Authorized Representative (mandataire) holding a French SIREN. Triman label has been mandatory since January 2022 under AGEC.",2系統制度: 家庭用包装はCITEOまたはLéko等のPRO経由、業務用包装は指定セクター事業者経由。生産者はUID (Identifiant Unique) の取得、Triman + Info-Tri表示、5月31日までの年次申告、エコ拠出金支払いが必要。フランス国外企業はフランスSIRENを保有する公認代理人(mandataire)の選任が必要。Triman表示は2022年1月以降AGECにより義務化,https://www.citeo.com/ | https://www.ademe.fr/,2026-04-27,high,active,2026-04-27,2026-08-12,rule_effective,"EU PPWR (Regulation (EU) 2025/40) becomes applicable across all EU Member States including France, harmonizing recyclability, recycled content, and labelling requirements at EU level.",https://taxation-customs.ec.europa.eu/news/e-commerce-150-eur-customs-duty-exemption-threshold-be-removed-2026-2025-11-13_en,4
epr_it_packaging,packaging_epr,IT,Italy,イタリア,"Legislative Decree 152/2006 (Environmental Code), as amended by Legislative Decree 116/2020",立法令 152/2006号(環境法典)、立法令 116/2020号による改正,yes,"CONAI (Consorzio Nazionale Imballaggi / National Packaging Consortium) — coordinating consortium with material-specific consortia: COMIECO (paper), COREPLA (plastic), COREVE (glass), RICREA (steel), CIAL (aluminium), RILEGNO (wood)",CONAI (Consorzio Nazionale Imballaggi / 全国包装コンソーシアム) — 素材別コンソーシアムを統括: COMIECO(紙)、COREPLA(プラスチック)、COREVE(ガラス)、RICREA(鋼)、CIAL(アルミ)、RILEGNO(木),https://www.conai.org/en/,paper | cardboard | plastic | glass | metal | wood | composite,unknown,unknown,"Approximately EUR 5,000 for producers/users not joining CONAI (Article 261 of Legislative Decree 152/06). For producers of packaging who fail to join the relevant material consortia (Article 223): fine ranging from EUR 15,500 to EUR 46,500. Past membership fees still due in any event.","CONAI未加入の生産者・使用者は約5,000ユーロ(立法令152/06号 第261条)。包装生産者が該当素材コンソーシアム未加入の場合(第223条): 15,500ユーロ〜46,500ユーロの罰金。過去の会員費は別途請求される",,,,,,,,,,"CONAI system in operation since 1998. Reporting frequency depends on declared environmental contribution (CAC) volume — monthly, quarterly, or annual. Periodic declarations are due by the 20th of the month following the reporting period. Eco-modulated fees by material recyclability (e.g. 9 plastic tiers since 2023). Importers without an Italian legal entity must appoint a third-party authorized representative. Environmental labelling per Decision 97/129/EC (alphanumeric material code) mandatory.",CONAIシステムは1998年運用開始。報告頻度は申告環境拠出金(CAC)額に応じて月次/四半期/年次に区分される。定期申告は対象期間の翌月20日まで。素材のリサイクル可能性に応じたエコ変調料金(プラスチックは2023年以降9区分)。イタリア法人格を持たない輸入者は第三者公認代理人の選任が必要。Decision 97/129/EC準拠の環境ラベル(英数字素材コード)表示が義務,https://www.conai.org/en/ | https://www.conai.org/en/businesses/joining-conai/ | https://www.conai.org/en/businesses/environmental-contribution/,2026-04-27,medium,active,2026-04-27,2026-08-12,rule_effective,"EU PPWR (Regulation (EU) 2025/40) becomes applicable across all EU Member States including Italy. Existing CONAI system continues, with national reporting to align with new PPWR performance criteria and labelling rules.",https://regsurance.com/italy-extended-producer-responsibility-epr-service-guide-registration-data-reporting/,5
epr_es_packaging,packaging_epr,ES,Spain,スペイン,Royal Decree 1055/2022 on Packaging and Packaging Waste (Real Decreto 1055/2022),包装および包装廃棄物に関する勅令 1055/2022号 (Real Decreto 1055/2022),yes,"MITERD (Ministerio para la Transición Ecológica y el Reto Demográfico) — Product Producers Registry (Registro de Productores de Producto). Compliance via Collective EPR Systems (SCRAPs) such as Ecoembes (household lightweight + paper/cardboard), Ecovidrio (glass), and Envalora (industrial/commercial)",MITERD (生態移行・人口問題省) — 製品生産者登録 (Registro de Productores de Producto)。集団EPRシステム(SCRAP)であるEcoembes(家庭用軽量・紙/段ボール)、Ecovidrio(ガラス)、Envalora(産業用・商業用)を経由して遵守,https://www.miteco.gob.es/,paper | cardboard | plastic | glass | metal | wood | composite,annual,yes,Per Law 7/2022 (waste framework law). Detailed administrative fines apply for breaches. Sales restrictions on online platforms such as Zalando and Amazon for non-compliant cross-border sellers (registration ID 'numero de registro' is verified). Plastic packaging tax of EUR 0.45/kg (under Law 7/2022) applies to non-reusable packaging containing plastic.,法律 7/2022(廃棄物枠組み法)に基づく行政罰金。Zalonda・Amazon等のオンラインプラットフォームは非遵守の越境出品者の登録番号(numero de registro)を検証し販売制限を行う。プラスチックを含む非再利用包装には法律 7/2022に基づくプラスチック包装税0.45ユーロ/kgが適用される,,,,,,,,,,"Decree entered into force 29 December 2022. Financial responsibilities apply from 1 January 2024. Marking obligations (Article 13) apply from 1 January 2025. ENV registration number format: ENV/YEAR/XXXXXXXXX, must appear on invoices and documentation. Annual declaration deadlines: Ecoembes by 28 February; MITERD annual reporting by 31 March; EPR systems' annual report to regions by 31 May. Producers below 15 tonnes/year may submit a simplified declaration. Non-Spanish entities must appoint a Spanish Authorised Representative.",勅令は2022年12月29日発効。財政的責任は2024年1月1日から、マーキング義務(第13条)は2025年1月1日から適用。ENV登録番号フォーマット: ENV/年/XXXXXXXXX。請求書・文書に表示が必要。年次申告期限: Ecoembesは2月28日、MITERDは3月31日、EPRシステムから地域への報告は5月31日。年間15トン未満の生産者は簡易申告可。スペイン国外事業者はスペイン公認代理人の選任が必要,https://www.miteco.gob.es/ | https://www.ecoembes.com/en/registration-product-producers,2026-04-27,high,active,2026-04-27,2026-08-12,rule_effective,"EU PPWR (Regulation (EU) 2025/40) becomes applicable across all EU Member States including Spain. Spain's Deposit, Return and Recycling System (SDDR) launch postponed to 2029 (originally targeted November 2026).",https://recore-circpack.veolia.com/national-and-local-reports/europe/spain/,5
epr_nl_packaging,packaging_epr,NL,Netherlands,オランダ,Packaging Management Decree 2014 (Besluit Beheer Verpakkingen 2014) under the Environmental Management Act (Wet milieubeheer),環境管理法 (Wet milieubeheer) 下の包装管理令 2014 (Besluit Beheer Verpakkingen 2014),conditional,Verpact (formerly Afvalfonds Verpakkingen / Packaging Waste Fund) — sole producer responsibility organisation for packaging. Inspectie Leefomgeving en Transport (ILT / Human Environment and Transport Inspectorate) acts as regulator. Rijkswaterstaat administers the EPR for litter and single-use plastics.,Verpact(旧 Afvalfonds Verpakkingen / 包装廃棄物基金)— 包装に関する唯一の生産者責任機関。Inspectie Leefomgeving en Transport (ILT / 人間環境輸送監督庁) が規制当局。Rijkswaterstaatが廃棄物・使い捨てプラスチックEPRを管理,https://www.verpact.nl/,paper | cardboard | plastic | glass | metal | wood | composite,annual,unknown,"Administrative fines from ILT for non-compliance, including potential additional assessments. Sales prohibition possible for failure to register. Records must be retained for at least 7 years.",ILTによる行政罰金。追加評価の対象となる可能性。登録未履行の場合は販売停止の可能性。記録は7年以上の保存義務,,,,,,,,,,"Threshold-based registration: producers/importers placing 50,000 kg or more of packaging on the Dutch market annually must register. The 50,000 kg threshold does NOT apply if you place any single-use plastic (SUP) packaging or beverage containers subject to deposit schemes — registration is mandatory regardless of weight in those cases. Note: under PPWR from 12 August 2026 the 50,000 kg threshold is expected to fall away, making registration mandatory for all. Annual declaration to Verpact due 1 April; annual report to ILT due 1 August. Indicative 2023 fees: glass EUR 0.060/kg, paper/cardboard EUR 0.012/kg, plastic EUR 1.050/kg, aluminium EUR 0.160/kg, reusable EUR 0.01/kg, SUP packaging surcharge EUR 2.30 per 1,000 units.","閾値制登録: 年間50,000kg以上の包装をオランダ市場に投入する生産者・輸入者は登録義務あり。ただしデポジット対象の使い捨てプラスチック(SUP)包装・飲料容器を投入する場合は重量に関わらず登録必須。注: 2026年8月12日からのPPWR適用により50,000kg閾値は撤廃され全事業者に登録義務が拡大される見込み。Verpactへの年次申告は4月1日、ILTへの年次報告は8月1日。2023年の参考料金: ガラス0.060ユーロ/kg、紙/段ボール0.012ユーロ/kg、プラスチック1.050ユーロ/kg、アルミ0.160ユーロ/kg、再利用可能0.01ユーロ/kg、SUP包装サーチャージ1,000個あたり2.30ユーロ",https://business.gov.nl/regulations/packaging/ | https://www.verpact.nl/,2026-04-27,high,active,2026-04-27,2026-08-12,scope_expanded,"Under EU PPWR (Regulation (EU) 2025/40), the 50,000 kg/year registration threshold is expected to fall away in the Netherlands, making registration mandatory for all producers and importers regardless of volume. Marketplaces and fulfillment service providers gain 'gatekeeper' verification responsibilities.",https://lappa.org/guides/epr/netherlands-epr/,4
epr_gb_packaging,packaging_epr,GB,United Kingdom,イギリス,Producer Responsibility Obligations (Packaging and Packaging Waste) Regulations 2024 — Packaging EPR (pEPR),生産者責任義務(包装および包装廃棄物)規則 2024 — 包装EPR (pEPR),conditional,"PackUK (scheme administrator within Defra; referred to as PecynUK in Wales) for fees and operational management. Environment Agency (England), SEPA (Scotland), Natural Resources Wales, Northern Ireland Environment Agency act as data and enforcement regulators. Producers register through their respective environmental regulator via the Report Producer Data (RPD) online portal. UK Packaging PRO formally appointed from 1 April 2026.",PackUK (Defra内のスキーム管理機関; ウェールズではPecynUKと呼称) が料金設定・運営管理を担当。Environment Agency(イングランド)、SEPA(スコットランド)、Natural Resources Wales、Northern Ireland Environment Agencyがデータ・執行規制当局。生産者はRPD (Report Producer Data) オンラインポータル経由で各々の環境規制機関に登録。UK Packaging PROは2026年4月1日より正式任命,https://www.gov.uk/guidance/extended-producer-responsibility-for-packaging-who-is-affected-and-what-to-do,paper | cardboard | plastic | glass | metal | wood | composite,biannual,unknown,"Variable monetary penalty on missed payment, calculated as the greater of: 5% of UK turnover (single organisation) or 2% of UK group turnover (group registration); or fees for packaging placed on the market in the relevant year. Other civil sanctions under Environment Agency enforcement policy.",支払遅延に対する変動制金銭罰: 単独組織はUK売上高の5%、グループ登録はUKグループ売上高の2%、または該当年に投入された包装の手数料額のいずれか高い方。Environment Agency執行方針に基づく他の民事制裁あり,,,,,,,,,,"Threshold-based: 'Large Producers' (turnover £2 million+ AND handling 50+ tonnes of packaging/year) pay full disposal fees. 'Small Producers' (handling 25-50 tonnes OR turnover £1m-£2m) have data reporting obligations only. 2025 base fees confirmed (per tonne): plastic £423, glass £192. From 2026-27 fees become eco-modulated using Recyclability Assessment Methodology (RAM) red-amber-green ratings, with escalating modulation factors of 1.2x, 1.6x, 2.0x over consecutive years. Large producers report H1 (1 Jan-30 Jun) data by 1 October; H2 / annual data per published deadlines. Deposit Return Scheme (DRS) for drinks containers planned for 1 October 2027.",閾値制: 「大規模生産者」(売上高200万ポンド以上 かつ 年間包装量50トン以上)は処分手数料全額支払い。「小規模生産者」(年間25-50トン または 売上高100万-200万ポンド)はデータ報告義務のみ。2025年基本料金確定(1トン当たり): プラスチック423ポンド、ガラス192ポンド。2026-27年度から「リサイクル可能性評価方法 (RAM)」の赤・黄・緑評価に基づくエコ変調料金に移行し、年度ごとに1.2倍、1.6倍、2.0倍の変調係数が累積適用。大規模生産者はH1(1〜6月)データを10月1日までに報告。飲料容器のデポジット返却制度(DRS)は2027年10月1日開始予定,https://www.gov.uk/government/publications/packuk-operational-plan/packuk-operational-plan-2024-to-2025 | https://www.gov.uk/government/publications/extended-producer-responsibility-for-packaging-2025-base-fees/extended-producer-responsibility-for-packaging-2025-base-fees | https://commonslibrary.parliament.uk/research-briefings/cbp-10352/,2026-04-27,high,active,2026-04-27,2026-04-01,rule_amended,"UK Packaging PRO (industry-led, not-for-profit consortium representing nearly half of UK EPR fees) formally appointed to take on operational management of the pEPR scheme. PackUK 2026-27 operational plan forecasts disposal costs of £1.47 billion (up from £1.44 billion in Year 1).",https://resourcemedia.eco/article/uk-packaging-pro-formally-appointed-to-run-pepr-scheme-from-april,6
epr_us_packaging,packaging_epr,US,"United States (California, representative state)",アメリカ合衆国(カリフォルニア州、代表州),California SB 54 — Plastic Pollution Prevention and Packaging Producer Responsibility Act,カリフォルニア州 SB 54 — プラスチック汚染防止および包装生産者責任法,yes,CalRecycle (California Department of Resources Recycling and Recovery) — regulator. Circular Action Alliance (CAA) — designated Producer Responsibility Organization (PRO). Producers register and report through the CAA Producer Portal.,CalRecycle(カリフォルニア州資源リサイクル・回収局)— 規制当局。Circular Action Alliance (CAA) — 指定生産者責任機関(PRO)。生産者はCAA Producer Portal経由で登録・報告を行う,https://calrecycle.ca.gov/packaging/packaging-epr/,paper | cardboard | plastic | glass | metal | composite,annual,unknown,"Penalties under California Public Resources Code (PRC) Section 42060 et seq. Implementing regulations (in final rulemaking as of April 2026) will detail enforcement. Producers face penalties for late reporting or out-of-compliance status. EPS food service ware producers who failed to demonstrate 25% recycling rate by 1 January 2025 are prohibited from sale, offering, distribution, or import into California.",カリフォルニア公共資源法(PRC) 第42060条以下に基づく罰則。施行規則(2026年4月時点で最終規則制定中)に執行詳細が定められる予定。報告遅延・非遵守には罰則。2025年1月1日までに25%のリサイクル率を実証できなかったEPSフードサービスウェア生産者は、カリフォルニア州での販売・提供・流通・輸入が禁止される,,,,,,,,,,"ONE STATE OF SEVERAL — this record represents California only as the most established US state EPR regime (SB 54 signed into law 30 June 2022). Other states with packaging EPR laws include Oregon, Colorado, Maine, and Minnesota; rules vary materially by state. There is no federal US packaging EPR. Covered material: single-use packaging and single-use plastic food service ware. Goals by 2032: (1) 100% of packaging recyclable or compostable, (2) 65% recycling rate for single-use plastic packaging, (3) 25% reduction in single-use plastic packaging. Implementation has been repeatedly delayed: Governor Newsom directed regulation restart on 7 March 2025; CalRecycle re-issued draft regulations May 2025, August 2025, and January 2026; final regulations resubmitted to OAL on 19 March 2026 with effectiveness expected by 1 May 2026.",複数州のうちの1州 — 本レコードはカリフォルニア州のみを対象(SB 54は2022年6月30日成立)。米国の州レベル包装EPR法はオレゴン州、コロラド州、メイン州、ミネソタ州にも存在し、内容は州により大きく異なる。連邦レベルの包装EPRは存在しない。対象材料: 使い捨て包装および使い捨てプラスチックフードサービスウェア。2032年までの目標: (1) 包装の100%がリサイクル可能または堆肥化可能、(2) 使い捨てプラスチック包装の65%リサイクル率、(3) 使い捨てプラスチック包装の25%削減。実施は度重なる遅延: 2025年3月7日にニューサム知事が規制制定の再開を指示、CalRecycleは2025年5月、8月、2026年1月に規則案を再公表、最終規則は2026年3月19日にOALに再提出され2026年5月1日までに発効見込み,https://calrecycle.ca.gov/packaging/packaging-epr/ | https://circularactionalliance.org/california,2026-04-27,medium,active,2026-04-27,2026-03-19,rule_amended,"CalRecycle resubmitted final draft of SB 54 regulations to California Office of Administrative Law (OAL), triggering a 30-working-day review period with decision expected no later than 1 May 2026. Once effective, producers have 30 days to register with CAA.",https://www.berlinpackaging.com/insights/sustainability/california-releases-new-details-on-sb-54-epr-packaging-law,7
tariff_de_de_minimis,de_minimis_tariff,DE,Germany,ドイツ,,,,,,,,,,,,150,EUR,24000,all_goods,yes,yes,IOSS | OSS,"Germany applies the EU-wide rules. Currently (April 2026), parcels valued at EUR 150 or below from non-EU countries are exempt from customs duties (VAT applies via IOSS for B2C). From 1 July 2026 a flat-rate customs duty of EUR 3 per item category (per 4-digit tariff heading) will apply to low-value consignments under the interim EU customs reform. From mid-2028, the EU Customs Data Hub is expected to enable standard tariff rates for all goods. IOSS continues to handle VAT for B2C imports up to EUR 150.",ドイツはEU共通規則を適用。2026年4月時点では、EU域外から150ユーロ以下の貨物は関税免除(B2CはIOSS経由でVAT適用)。EU税関改革の暫定措置として、2026年7月1日より少額貨物に対し品目区分(HSコード4桁ヘディング)1区分につき3ユーロの定額関税が適用開始。2028年中頃以降、EU税関データハブの稼働により全貨物に通常関税率が適用される予定。IOSSは150ユーロ以下のB2C輸入のVAT処理を継続,"Reference: Council of the European Union political agreement 13 November 2025; final legislative approval 11 February 2026; political/operational milestones include European Parliament resolution 9 July 2025. Approximately 4.6 billion parcels under EUR 150 entered the EU in 2024, with around 91% originating from China, prompting the accelerated reform timeline. Handling fees: EUR 2 fixed customs handling fee for low-value goods directly to consumers from non-EU; EUR 0.50 for low-value shipments routed to EU warehouses (effective no later than November 2026). The Germany-specific implementation may include additional national reporting via national customs authorities.",参照: 欧州連合理事会2025年11月13日政治合意、2026年2月11日最終立法承認。マイルストーン: 2025年7月9日欧州議会決議。2024年にEUへ流入した150ユーロ以下の貨物は約46億個、うち約91%が中国発で、改革の前倒しを促した。手数料: EU域外から消費者直送の少額貨物には2ユーロの定額通関手数料、EU倉庫向けには0.50ユーロ(2026年11月までに発効)。ドイツ固有の実装には各国税関への追加国別報告が含まれる可能性,https://taxation-customs.ec.europa.eu/news/e-commerce-150-eur-customs-duty-exemption-threshold-be-removed-2026-2025-11-13_en | https://www.avalara.com/blog/en/europe/2025/11/eu-end-150-customs-duty-exemption-2026.html,2026-04-27,high,scheduled_for_removal,2026-04-27,2028-06-30,rule_amended,"EU Customs Data Hub expected to become operational mid-2028, enabling full standard tariff rate application to all e-commerce goods regardless of value, replacing the EUR 3 interim flat-rate duty.",https://taxation-customs.ec.europa.eu/news/e-commerce-150-eur-customs-duty-exemption-threshold-be-removed-2026-2025-11-13_en,7
tariff_fr_de_minimis,de_minimis_tariff,FR,France,フランス,,,,,,,,,,,,150,EUR,24000,all_goods,yes,yes,IOSS | OSS,"France applies the EU-wide rules. Currently (April 2026), parcels valued at EUR 150 or below from non-EU countries are exempt from customs duties (VAT applies via IOSS for B2C). From 1 July 2026 a flat-rate customs duty of EUR 3 per item category (per 4-digit tariff heading) will apply to low-value consignments under the interim EU customs reform. From mid-2028, the EU Customs Data Hub is expected to enable standard tariff rates for all goods. IOSS continues to handle VAT for B2C imports up to EUR 150.",フランスはEU共通規則を適用。2026年4月時点では、EU域外から150ユーロ以下の貨物は関税免除(B2CはIOSS経由でVAT適用)。EU税関改革の暫定措置として、2026年7月1日より少額貨物に対し品目区分(HSコード4桁ヘディング)1区分につき3ユーロの定額関税が適用開始。2028年中頃以降、EU税関データハブの稼働により全貨物に通常関税率が適用される予定。IOSSは150ユーロ以下のB2C輸入のVAT処理を継続,"Reference: Council of the European Union political agreement 13 November 2025; final legislative approval 11 February 2026; political/operational milestones include European Parliament resolution 9 July 2025. Approximately 4.6 billion parcels under EUR 150 entered the EU in 2024, with around 91% originating from China, prompting the accelerated reform timeline. Handling fees: EUR 2 fixed customs handling fee for low-value goods directly to consumers from non-EU; EUR 0.50 for low-value shipments routed to EU warehouses (effective no later than November 2026). The France-specific implementation may include additional national reporting via national customs authorities.",参照: 欧州連合理事会2025年11月13日政治合意、2026年2月11日最終立法承認。マイルストーン: 2025年7月9日欧州議会決議。2024年にEUへ流入した150ユーロ以下の貨物は約46億個、うち約91%が中国発で、改革の前倒しを促した。手数料: EU域外から消費者直送の少額貨物には2ユーロの定額通関手数料、EU倉庫向けには0.50ユーロ(2026年11月までに発効)。フランス固有の実装には各国税関への追加国別報告が含まれる可能性,https://taxation-customs.ec.europa.eu/news/e-commerce-150-eur-customs-duty-exemption-threshold-be-removed-2026-2025-11-13_en | https://www.avalara.com/blog/en/europe/2025/11/eu-end-150-customs-duty-exemption-2026.html,2026-04-27,high,scheduled_for_removal,2026-04-27,2028-06-30,rule_amended,"EU Customs Data Hub expected to become operational mid-2028, enabling full standard tariff rate application to all e-commerce goods regardless of value, replacing the EUR 3 interim flat-rate duty.",https://taxation-customs.ec.europa.eu/news/e-commerce-150-eur-customs-duty-exemption-threshold-be-removed-2026-2025-11-13_en,7
tariff_it_de_minimis,de_minimis_tariff,IT,Italy,イタリア,,,,,,,,,,,,150,EUR,24000,all_goods,yes,yes,IOSS | OSS,"Italy applies the EU-wide rules. Currently (April 2026), parcels valued at EUR 150 or below from non-EU countries are exempt from customs duties (VAT applies via IOSS for B2C). From 1 July 2026 a flat-rate customs duty of EUR 3 per item category (per 4-digit tariff heading) will apply to low-value consignments under the interim EU customs reform. From mid-2028, the EU Customs Data Hub is expected to enable standard tariff rates for all goods. IOSS continues to handle VAT for B2C imports up to EUR 150.",イタリアはEU共通規則を適用。2026年4月時点では、EU域外から150ユーロ以下の貨物は関税免除(B2CはIOSS経由でVAT適用)。EU税関改革の暫定措置として、2026年7月1日より少額貨物に対し品目区分(HSコード4桁ヘディング)1区分につき3ユーロの定額関税が適用開始。2028年中頃以降、EU税関データハブの稼働により全貨物に通常関税率が適用される予定。IOSSは150ユーロ以下のB2C輸入のVAT処理を継続,"Reference: Council of the European Union political agreement 13 November 2025; final legislative approval 11 February 2026; political/operational milestones include European Parliament resolution 9 July 2025. Approximately 4.6 billion parcels under EUR 150 entered the EU in 2024, with around 91% originating from China, prompting the accelerated reform timeline. Handling fees: EUR 2 fixed customs handling fee for low-value goods directly to consumers from non-EU; EUR 0.50 for low-value shipments routed to EU warehouses (effective no later than November 2026). The Italy-specific implementation may include additional national reporting via national customs authorities.",参照: 欧州連合理事会2025年11月13日政治合意、2026年2月11日最終立法承認。マイルストーン: 2025年7月9日欧州議会決議。2024年にEUへ流入した150ユーロ以下の貨物は約46億個、うち約91%が中国発で、改革の前倒しを促した。手数料: EU域外から消費者直送の少額貨物には2ユーロの定額通関手数料、EU倉庫向けには0.50ユーロ(2026年11月までに発効)。イタリア固有の実装には各国税関への追加国別報告が含まれる可能性,https://taxation-customs.ec.europa.eu/news/e-commerce-150-eur-customs-duty-exemption-threshold-be-removed-2026-2025-11-13_en | https://www.avalara.com/blog/en/europe/2025/11/eu-end-150-customs-duty-exemption-2026.html,2026-04-27,high,scheduled_for_removal,2026-04-27,2028-06-30,rule_amended,"EU Customs Data Hub expected to become operational mid-2028, enabling full standard tariff rate application to all e-commerce goods regardless of value, replacing the EUR 3 interim flat-rate duty.",https://taxation-customs.ec.europa.eu/news/e-commerce-150-eur-customs-duty-exemption-threshold-be-removed-2026-2025-11-13_en,7
